開始時間,結束時間,使用時長(秒),應用程式標題
2026-04-28 11:32:42,2026-04-28 11:32:47,5,project1 - Antigravity - SKILL.md
2026-04-28 11:32:47,2026-04-28 11:32:52,5,project1 - Antigravity - learning_log.csv
2026-04-28 11:32:52,2026-04-28 11:33:07,15,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 11:33:07,2026-04-28 11:33:12,5,常用 - 檔案總管
2026-04-28 11:33:12,2026-04-28 11:33:27,15,本機磁碟 (C:) - 檔案總管
2026-04-28 11:33:27,2026-04-28 11:33:32,5,agent_factory - 檔案總管
2026-04-28 11:33:32,2026-04-28 11:33:42,10,NEW PROJECT - 檔案總管
2026-04-28 11:38:06,2026-04-28 11:38:42,35,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 11:39:07,2026-04-28 11:41:02,115,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 11:41:02,2026-04-28 11:41:07,5,看板 C_Chat 文章列表 - 批踢踢實業坊 - Google Chrome
2026-04-28 11:41:07,2026-04-28 11:41:37,30,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 11:41:42,2026-04-28 11:41:57,15,AI學習分享組
2026-04-28 11:41:57,2026-04-28 11:43:27,90,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 11:43:27,2026-04-28 11:43:42,15,(21) YouTube - Google Chrome
2026-04-28 11:43:42,2026-04-28 12:01:32,1070,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:01:32,2026-04-28 12:01:37,5,#沒有伺服器主人仍持續運作的頻道 | 所以我說 能♂量呢 - Discord
2026-04-28 12:01:37,2026-04-28 12:02:02,25,@snowlion - Discord
2026-04-28 12:02:02,2026-04-28 12:05:17,195,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:05:17,2026-04-28 12:05:27,10,@snowlion - Discord
2026-04-28 12:05:27,2026-04-28 12:05:47,20,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:05:47,2026-04-28 12:05:57,10,@snowlion - Discord
2026-04-28 12:05:57,2026-04-28 12:06:02,5,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:06:02,2026-04-28 12:06:07,5,@snowlion - Discord
2026-04-28 12:06:07,2026-04-28 12:07:37,90,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:07:37,2026-04-28 12:08:22,45,@snowlion - Discord
2026-04-28 12:08:22,2026-04-28 12:10:47,145,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 12:10:47,2026-04-28 12:10:52,5,@snowlion - Discord
2026-04-28 12:10:52,2026-04-28 14:24:08,7995,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:24:08,2026-04-28 14:24:38,30,#沒有伺服器主人仍持續運作的頻道 | 所以我說 能♂量呢 - Discord
2026-04-28 14:24:38,2026-04-28 14:25:38,60,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:25:38,2026-04-28 14:25:43,5,#沒有伺服器主人仍持續運作的頻道 | 所以我說 能♂量呢 - Discord
2026-04-28 14:25:43,2026-04-28 14:25:48,5,(22) YouTube - Google Chrome
2026-04-28 14:25:48,2026-04-28 14:25:53,5,哈啦區 - 巴哈姆特 - Google Chrome
2026-04-28 14:25:53,2026-04-28 14:25:58,5,【討論】殺戮尖塔/ slay the spire 爬塔串 二代 開始EA 另外DC也招人 @場外休憩區 哈啦板 - 巴哈姆特 - Google Chrome
2026-04-28 14:25:58,2026-04-28 14:26:03,5,project1 - Antigravity - Extension: Rainbow CSV
2026-04-28 14:26:03,2026-04-28 14:26:08,5,哈啦區 - 巴哈姆特 - Google Chrome
2026-04-28 14:26:08,2026-04-28 14:26:18,10,(22) 🍜 【審判渣湯】由各位的判決 讓渣湯入監服刑！【白湯】 - YouTube - Google Chrome
2026-04-28 14:26:18,2026-04-28 14:26:38,20,project1 - Antigravity - Extension: Rainbow CSV
